latitude,longitude,elevation
44.766742,-85.584262,185.6
44.766742,-85.584262,185.6
44.766742,-85.584262,185.6
44.766742,-85.584262,185.6
44.766742,-85.584262,185.6
44.766794,-85.584157,185.8
44.766794,-85.584157,185.8
44.766794,-85.584157,185.8
44.766898,-85.584019,186.2
44.766898,-85.584019,186.2
44.766898,-85.584019,186.2
44.766947,-85.583889,186.2
44.766947,-85.583889,186.2
44.766947,-85.583889,186.2
44.767005,-85.58372,186.6
44.767005,-85.58372,186.6
44.767005,-85.58372,186.6
44.767043,-85.583584,184.8
44.767043,-85.583584,184.8
44.767043,-85.583584,184.8
44.767076,-85.583431,185.4
44.767076,-85.583431,185.4
44.767076,-85.583431,185.4
44.767092,-85.583276,186.4
44.767092,-85.583276,186.4
44.767092,-85.583276,186.4
44.767111,-85.583136,184.8
44.767111,-85.583136,184.8
44.767111,-85.583136,184.8
44.767105,-85.582971,185.4
44.767105,-85.582971,185.4
44.767105,-85.582971,185.4
44.767116,-85.582813,185.4
44.767116,-85.582813,185.4
44.76712,-85.582685,185.0
44.76712,-85.582685,185.0
44.76712,-85.582685,185.0
44.767126,-85.582523,184.8
44.767126,-85.582523,184.8
44.767126,-85.582523,184.8
44.767163,-85.582356,185.4
44.767163,-85.582356,185.4
44.767163,-85.582356,185.4
44.767223,-85.582203,186.0
44.767223,-85.582203,186.0
44.767223,-85.582203,186.0
44.767282,-85.582058,186.4
44.767282,-85.582058,186.4
44.767282,-85.582058,186.4
44.767363,-85.581956,186.8
44.767363,-85.581956,186.8
44.767363,-85.581956,186.8
44.767455,-85.581863,186.0
44.767455,-85.581863,186.0
44.767455,-85.581863,186.0
44.767549,-85.581768,186.6
44.767549,-85.581768,186.6
44.767549,-85.581768,186.6
44.767653,-85.581712,186.8
44.767653,-85.581712,186.8
44.767653,-85.581712,186.8
44.767773,-85.581655,186.4
44.767773,-85.581655,186.4
44.767773,-85.581655,186.4
44.767881,-85.581599,186.4
44.767881,-85.581599,186.4
44.767881,-85.581599,186.4
44.767981,-85.581526,186.6
44.767981,-85.581526,186.6
44.767981,-85.581526,186.6
44.768056,-85.581413,187.0
44.768056,-85.581413,187.0
44.768056,-85.581413,187.0
44.768129,-85.58128,186.6
44.768129,-85.58128,186.6
44.768129,-85.58128,186.6
44.768161,-85.581137,187.0
44.768161,-85.581137,187.0
44.768161,-85.581137,187.0
44.768173,-85.580972,187.8
44.768173,-85.580972,187.8
44.768173,-85.580972,187.8
44.768173,-85.58083,187.2
44.768173,-85.58083,187.2
44.768173,-85.58083,187.2
44.768172,-85.580667,187.4
44.768172,-85.580667,187.4
44.768172,-85.580667,187.4
44.768178,-85.580501,186.6
44.768178,-85.580501,186.6
44.768178,-85.580501,186.6
44.768181,-85.580327,185.6
44.768181,-85.580327,185.6
44.768181,-85.580327,185.6
44.768178,-85.580157,186.2
44.768178,-85.580157,186.2
44.768178,-85.580157,186.2
44.76818,-85.579976,186.0
44.76818,-85.579976,186.0
44.76818,-85.579976,186.0
44.768181,-85.579817,185.4
44.768181,-85.579817,185.4
44.768181,-85.579817,185.4
44.768185,-85.579645,185.8
44.768185,-85.579645,185.8
44.768185,-85.579645,185.8
44.768178,-85.57949,186.0
44.768178,-85.57949,186.0
44.768178,-85.57949,186.0
44.768167,-85.579338,185.4
44.768167,-85.579338,185.4
44.768167,-85.579338,185.4
44.768135,-85.57919,186.4
44.768135,-85.57919,186.4
44.768135,-85.57919,186.4
44.768102,-85.579067,187.2
44.768102,-85.579067,187.2
44.768102,-85.579067,187.2
44.76804,-85.57894,187.6
44.76804,-85.57894,187.6
44.76804,-85.57894,187.6
44.767975,-85.578805,187.0
44.767975,-85.578805,187.0
44.767975,-85.578805,187.0
44.767902,-85.578678,185.0
44.767902,-85.578678,185.0
44.767902,-85.578678,185.0
44.767814,-85.578631,185.6
44.767814,-85.578631,185.6
44.767736,-85.578559,184.6
44.767736,-85.578559,184.6
44.767736,-85.578559,184.6
44.76761,-85.57852,185.2
44.76761,-85.57852,185.2
44.76761,-85.57852,185.2
44.7675,-85.578482,184.0
44.7675,-85.578482,184.0
44.76741,-85.578484,184.2
44.76741,-85.578484,184.2
44.76741,-85.578484,184.2
44.767274,-85.578494,185.2
44.767274,-85.578494,185.2
44.767274,-85.578494,185.2
44.767142,-85.57848,184.0
44.767142,-85.57848,184.0
44.767142,-85.57848,184.0
44.767019,-85.578473,184.2
44.767019,-85.578473,184.2
44.767019,-85.578473,184.2
44.766892,-85.578467,184.6
44.766892,-85.578467,184.6
44.766892,-85.578467,184.6
44.766787,-85.578463,185.6
44.766787,-85.578463,185.6
44.766787,-85.578463,185.6
44.76667,-85.578477,184.4
44.76667,-85.578477,184.4
44.76667,-85.578477,184.4
44.76654,-85.578473,185.4
44.76654,-85.578473,185.4
44.76654,-85.578473,185.4
44.766438,-85.578476,185.0
44.766438,-85.578476,185.0
44.766438,-85.578476,185.0
44.766317,-85.578442,185.0
44.766317,-85.578442,185.0
44.766317,-85.578442,185.0
44.766218,-85.578374,184.8
44.766218,-85.578374,184.8
44.766218,-85.578374,184.8
44.766134,-85.57824,184.4
44.766134,-85.57824,184.4
44.766134,-85.57824,184.4
44.766073,-85.5781,183.4
44.766073,-85.5781,183.4
44.766073,-85.5781,183.4
44.766002,-85.577966,183.2
44.766002,-85.577966,183.2
44.766002,-85.577966,183.2
44.765911,-85.577849,182.8
44.765911,-85.577849,182.8
44.765911,-85.577849,182.8
44.765807,-85.577776,183.0
44.765807,-85.577776,183.0
44.765807,-85.577776,183.0
44.765713,-85.577734,183.2
44.765713,-85.577734,183.2
44.765713,-85.577734,183.2
44.765608,-85.577736,182.8
44.765608,-85.577736,182.8
44.765608,-85.577736,182.8
44.765505,-85.577737,183.4
44.765505,-85.577737,183.4
44.765505,-85.577737,183.4
44.765392,-85.577733,184.2
44.765392,-85.577733,184.2
44.765392,-85.577733,184.2
44.765286,-85.577729,182.6
44.765286,-85.577729,182.6
44.765286,-85.577729,182.6
44.765172,-85.577719,182.0
44.765172,-85.577719,182.0
44.765172,-85.577719,182.0
44.765053,-85.577733,183.8
44.765053,-85.577733,183.8
44.765053,-85.577733,183.8
44.764943,-85.577727,183.6
44.764943,-85.577727,183.6
44.764943,-85.577727,183.6
44.76484,-85.577724,182.2
44.76484,-85.577724,182.2
44.76484,-85.577724,182.2
44.764721,-85.577737,183.2
44.764721,-85.577737,183.2
44.764721,-85.577737,183.2
44.764606,-85.577724,182.4
44.764606,-85.577724,182.4
44.764606,-85.577724,182.4
